# SPDX-License-Identifier: CC-BY-4.0
doc_id	title	authors	abstract	fields_of_study	doi_or_url	license
31	Liquid Crystals: Unlocking the Quantum Revolution in Computing	Katarzyna Matczyszyn; Edward Otieno; Nelson Mokaya	Quantum computing promises exponential advances in information processing, necessitating the development of appropriate materials for implementing quantum qubits and gates. Liquid crystals, known for their electro-optical characteristics and use in displays, have recently received attention as prospective candidates for quantum computing applications. This review delves into the role of liquid crystals in quantum information science, starting with an overview of their characteristics, classification and phase transition mechanisms. It then directs focus to their quantum attributes, their ability to display quantum coherence and entanglement. The review also showcases validations of quantum phenomena in liquid crystals, highlighting their suitability for use in quantum systems. Recent advances are discussed, including the development of liquid crystal qubits, quantum gates, and circuits. The review also explores the integration of liquid crystals with quantum photonic devices, emphasizing their role in enhancing quantum communication and information processing. Potential room temperature operation applications such as quantum sensing and quantum cryptocurrency are illustrated through case studies. Challenges such as material synthesis, decoherence, stability, and compatibility with existing technologies are addressed, with proposed solutions including hybrid systems and novel fabrication techniques. Future research directions focus on innovative liquid crystal materials, interdisciplinary collaboration, and their use in emerging quantum technologies.	Materials Science; Physical Chemistry; Energy; Materials Chemistry; Nanoscience	https://doi.org/10.26434/chemrxiv-2024-ql0fx	CC BY 4.0
32	Machine learning-guided materials and system co-design for high-pressure hydrogen compression	Matthew D. Witman; Brendan Davis; Vitalie Stavila; Terry Johnson	Cost effective and reliable hydrogen compression remains a challenging barrier in the wide-spread adoption of hydrogen as an energy carrier. The prevailing technology of mechanical compression suffers from several drawbacks, some of which can be addressed by non-mechanical compression strategies (e.g., electrochemical or metal hydride-based thermal compression). Thermally driven metal hydride compression strategies typically rely on multi-stage metal hydride-based compressors; however, discovering or optimizing low-stability metal hydrides that can pressurize hydrogen upwards of 1000 bar is difficult, both with respect to computational predictions and experimental validation. Here we (1) demonstrate that simple machine learning-derived design rules can inform rational design of alloying strategies yielding low-stability hydrides, (2) validate their experimental pressure-composition-temperature (PCT) isotherms up to 875 bar, and (3) utilize a dynamic systems-level model of a metal hydride compressor design to evaluate their performance under realistic operating conditions. Importantly, this analysis yields predicted operational efficiencies of both 2-stage (90-875 bar) and 3-stage (20-875 bar) metal hydride compressors to enable further evaluation of this technology and its techno-economic outlook.	Energy; Materials Science; Theoretical and Computational Chemistry	https://doi.org/10.26434/chemrxiv-2025-352vm-v2	CC BY 4.0
33	Magnetic sponge like behavior in a heterobimetallic cyanide bridged 1D ladder chain	Mayurika Das; Sujit Kamilya; Sakshi Mehta; Radovan Herchel; Abhishake Mondal	A two-dimensional coordination complex {[Mn(Me-im)₃(H₂O)][Cr(CN)₆]0.5[Mn(EtOH)₂]} (1) (Me-im= 1-Methylimidazole) has been synthesized by following the “building-block” strategy from the reaction between [Cr(CN)₆]³⁻ and Mn(II) with monodentate 1-methylimidazole ligand. The complex was characterized by single-crystal X-ray diffraction analyses, magnetic, gas adsorption and spectroscopic studies. Crystal structure analyses reveal that in the 2D network is formed, the central Cr is linked to two Mn centers of different coordination environments in the [CrMn₂] asymmetric unit by Cr₃⁺-CN-Mn₂⁻ bridges. Extension of the 2D network forms “1D ladder like chains” of finite width. N₂ gas adsorption studies on desolvated sample reveals a Type II adsorption isotherm at 77 K. Magnetic studies of 1 reveal strong ferrimagnetic ordering with T_C = 2.15 K. In an attempt to increase the ordering temperature, the magnetic sponge property has also been investigated for this system by successive desolvation and resolvation, and likewise an increase in the ordering temperature has been observed.	Inorganic Chemistry; Materials Science; Physical Chemistry	https://doi.org/10.26434/chemrxiv-2025-tdl69	CC BY 4.0
34	Magneto-Plasmonics-Enhanced Colorimetric Lateral Flow Immunoassay Using Magnetic-Gold Nanostars	Supriya Atta; Taylor L. Thorsen; Yuanhao Zhao; Sebastian Sanchez; Haydon J. Hill; Vanessa K. Berner; Marcellene A. Gates-Hollingsworth; Jasmine Pramila Devadhasan; Alexander Jarrett Summers; Jian Gu; Douglas C. Montgomery; David P. AuCoin; Frederic Zenhausern; Tuan Vo-Dinh	Colorimetric lateral flow immunoassays (LFIA) have revolutionized point-of-care testing (POCT) methods by providing simple, rapid, accessible, and instrumentation-free detection of infectious diseases. However, conventional LFIAs relying on gold nanospheres (GNPs) can suffer from limited sensitivity due to weak colorimetric signal intensity at the test line, restricting their diagnostic potential. To overcome this limitation, we developed a magneto-plasmonics enhanced colorimetric LFIA (mpLFIA)- a breakthrough platform that integrates a novel hybrid nanoparticle system-magnetic gold nanostars (mpGNS). By leveraging dual enhancement mechanisms - magnetic preconcentration and plasmonic amplification through the gold nanostar shell coating of the magnetic core- the mpLFIA achieves unprecedented signal intensity and detection performance. Among the tested mpGNS variants, mpGNS-3- distinguished by its longest spikes and highest branch density- emerged as the most effective colorimetric signal amplifier when evaluated using Rift Valley fever virus (RVFV) nucleoprotein as a model analyte. Our mpLFIA platform achieves an outstanding limit of detection (LOD) of 2.24 pg/mL for RVFV nucleoprotein in 1X PBS buffer, demonstrating a 1000-fold enhancement over conventional GNP-based assays. Our prototype mpLFIA platform, utilizing highly spiked mpGNS-3, exhibits great potential as a powerful bioanalytical tool, combining high sensitivity with practical portability for point-of-care applications.	Analytical Chemistry; Materials Science; Nanoscience	https://doi.org/10.26434/chemrxiv-2025-nvjd7	CC BY 4.0
35	Material Characterization of NMC Black Mass from End-of-Life Lithium-Ion Batteries for Enhanced Recycling Strategies	Hammad Farooq; Sulalit Bandyopadhyay	Recycling black mass (BM) obtained from NMC-based end-of-life lithium-ion batteries (LIBs) is hindered by metallic impurities (Al and Cu), residual electrolytes, and PVDF (polyvinylidene fluoride) binder. Pre-treatment of BM, such as milling and pyrolysis, to remove these impurities necessitates characterizing its physicochemical properties that affect such pre-treatment methods. More importantly, a judicious combination of characterization techniques can provide an integrated framework for efficiently planning pre-treatment and recycling processes. In this study, industrial BM samples from end-of-life NMC622, NMC111, and NMC901 LIBs are characterized. The comparative characterization of BM using FBRM (focused beam reflectance measurement) and laser diffraction techniques showed that applying square weighting to the chord length distribution measured by FBRM yields values close to the actual particle size, while also providing a method that can be used for real-time analysis of recycling processes. XRD (x-ray diffraction), complemented by SEM (scanning electron microscopy) and metal composition data confirmed that crystalline NMC phases remain intact in untreated BM and graphite exists as a mixture of 2H and 3R phases. Additionally, Raman spectroscopy with SEM elemental analysis provided insights into the carbonaceous deposits and metal particles on graphite surfaces. Qualitative TGA/MS (thermogravimetry with mass spectrometry) of BM under pyrolytic conditions allowed the identification of residual electrolytes and PVDF through the evolution of carbonaceous and fluorinated gases. Quantitative TGA/MS under oxidative conditions allowed quantification of total carbon in BM and estimation of PVDF. Explored characterization techniques highlight the impact of pre-treatment processes and provide a decision framework for selecting and optimizing recycling strategies.	Materials Science; Energy; Analytical Chemistry; Chemical Engineering and Industrial Chemistry; Materials Chemistry	https://doi.org/10.26434/chemrxiv-2025-bqzl2	CC BY 4.0
36	Metaverse For Battery Manufacturing: Connecting Students From Different Geographical Locations To Solve Battery Manufacturing Problems In The Virtual Reality Space	Soorya Saravanan; Utkarsh Vijay; Sophie Tran; Maris Minna Mathew; Desislava Yordanova Apostolova; Inaki Gandarias; Aubin Leclere; Romain Lelong; Alejandro A. Franco	Laboratory practices are essential to prepare students and professionals to drive future innovations in the field of energy storage and conversion. However, universities and industries working in the battery field encounter challenges such as effective and efficient training on complex concepts related to battery production, mostly due to the lack of access to battery prototyping facilities or the limited availability of battery manufacturing pilot lines for training purposes. This Concept introduces an innovative educational platform in Virtual Reality (VR) named Battery Manufacturing Metaverse (BMM). BMM promotes accessibility, inclusion and collaborative learning of Lithium Ion Battery (LIB) manufacturing through an interactive and flexible VR representation of a LIB manufacturing pilot line. It enables collaboration among students and researchers from different geographical locations. Users can explore electrode and cell chemistries and adjust manufacturing parameters with informative feedback from a cell’s composition to the functioning of the manufacturing equipment. BMM does it with real-time collaboration using avatars and voice chat. This platform aims to connect universities of i-MESC (Interdisciplinarity in Materials for Energy Storage and Conversion, previously MESC+), an Erasmus+ MSc. Program, enabling seamless knowledge sharing and training. BMM represents a transformative step in battery research and education, offering an immersive, interactive environment without geographical barriers to pave the way towards global education and safe training in the energy sector.	Energy; Materials Science; Chemical Education; Catalysis; Organic Chemistry	https://doi.org/10.26434/chemrxiv-2025-3484j	CC BY 4.0
37	Microenvironment effects from first principles multiscale modeling of electrochemical CO2 reduction	F. Lorenzutti; R.R. Seemakurthi; E.F. Johnson; S. Morandi; P. Nikačević; N. López; S. Haussener	Electrochemical CO₂ reduction will be a key player in net-zero technologies, yet its industrial implementation is limited. Improvements by fine-tuning the microenvironments, electrolyte environments around the catalytic sites, have been scarce due to the interplay between electrode kinetics and transport. Here, we couple atomistic insights with continuum transport via ab-initio multiscale modeling, explicitly including electrolyte effects at all scales. The model was validated on Ag planar electrodes in several liquid electrolytes and the current dependence with voltage aligns with experimental observations. We show that a balance between CO₂ diffusion and cation accumulation needs be achieved to obtain optimal rates. In ionomers, this limitation can be overcome since organic cations-based microenvironments are present at a fixed concentration, but water management becomes critical. Our approach paves the way towards rational microenvironment design in electrochemical CO₂ conversion.	Physical Chemistry; Energy; Materials Science	https://doi.org/10.26434/chemrxiv-2024-ff7s8-v3	CC BY 4.0
38	Milling for Analytical Testing to Optimize Cannabinoid Recovery and Sample Throughput	Dingding Xuan; Sajni Shah; Eric Janusson; Markus Roggen	In the cannabis industry, achieving accurate analytical test results is complex, hindered by challenges such as sampling issues, sample preparation, cross-contamination, and the choice of analytical methods. This study investigates the impact of different milling instruments and conditions on cannabinoid recovery and sample throughput in analytical testing, and explores potential optimizations for cost, throughput, and contamination reduction, addressing gaps in current understanding.	Analytical Chemistry; Biological and Medicinal Chemistry	https://doi.org/10.26434/chemrxiv-2024-1pm6z	CC BY 4.0
39	Molecular orientation and stratification revealed in RNA-lipid nanoparticles using Cryogenic Orbitrap Secondary Ion Mass Spectrometry (Cryo-OrbiSIMS) depth profiling	Anna M Kotowska; Michael Fay; Julie A Watts; Ian Gilmore; David J. Scurr; Alaina Howe; Vladimir Capka; Corey Perez; Devin Doud; Siddharth Patel; Mark Umbarger; Robert Langer; Morgan R Alexander	Lipid nanoparticle RNA (LNP-RNA) formulations are used for the delivery of vaccines and other therapies. RNA molecules are encapsulated within their interior through electrostatic interactions with positively charged lipids. The identity of the lipids that present at their surface play a role in how they interact with and are perceived by the body and their resultant potency. Here, we use a model formulation to develop cryogenic sample preparation for molecular depth profiling Orbitrap secondary ion mass spectrometry (Cryo-OrbiSIMS) preceded by morphological characterisation using cryogenic transmission electron microscopy (Cryo-TEM). It is found that the depth distribution of individual lipid components is revealed relative to the surface and the RNA cargo defining the core. A preferential lipid orientation can be determined for the 1,2-Dimyristoyl-glycero-3-methoxypolyethylene glycol 2000 (DMG-PEG2k) molecule, by comparing the profiles of PEG to DMG fragments. PEG fragments are found immediately during analysis of the LNP surface, while the DMG fragments are deeper, coincident with RNA ions located in the core, in agreement with established models of LNPs. This laboratory-based de novo analysis technique requires no labelling, providing advantages over large facility neutron scattering characterisation.	Analytical Chemistry; Chemical Engineering and Industrial Chemistry; Materials Science; Physical Chemistry; Biological and Medicinal Chemistry; Nanoscience; Catalysis; Organic Chemistry	https://doi.org/10.26434/chemrxiv-2025-zxkf1-v3	CC BY 4.0
40	Nitrogen Abundant Hexaazatriphenylene-diaminobenzidine Covalent Organic Framework as Promising Cathode Material in Lithium-ion Battery	Korak Kar; Sabiar Rahaman; Yuchen Liu; Krishna D. Bhalerao; Hiran Jyothila; Benjamin Duff; M. Dinachandra Singh; Basker Sundararaju; Kumar Biradha; Ashok Keerthi	In recent years, covalent organic frameworks (COFs) have emerged as promising materials because of their porosity, crystallinity, tunability and composition of lightweight elements. Conventionally, COFs have been mostly synthesized by reversible reactions to impart crystallinity. However, irreversible aromatic nucleophilic substitution reactions can lead to more stable materials which are much more relevant to electrochemical applications. Embedding nitrogen atoms in the rigid carbon framework in the form of phenazine and secondary arylamine moieties provides redox-active sites to the material which has been shown to provide impressive performance as cathode material in lithium-ion batteries. Herein, we report a nitrogen-rich, hexaazatriphenylene-diaminobenzidine based COF through -C-N-linkages synthesized via irreversible aromatic nucleophilic reactions. Due to its diverse structural features, our COF serves as a highly viable electrode material, demonstrating excellent stability and recyclability in Li-ion batteries. Our COF achieves an impressive capacity of 265 mAh/g at a current density of 0.02 A/g, with a remarkable energy density of 607 Wh/kg. Furthermore, it retains a high Coulombic efficiency of ~98% throughout the charge-discharge process even after several hundred cycles.	Materials Science; Energy	https://doi.org/10.26434/chemrxiv-2025-xf4bl	CC BY 4.0
41	Novel Zircaloy nanomaterials with antibacterial activity	Gabriel Onyenso; Jiwar Al-Zawity; Nastaran Farahbakhsh; Annika Schardt; Aydan Yadigarli; Swathi Naidu Vakamulla Raghu; Mareike Müller; Holger Schönherr; Carsten Engelhard; Manuela S. Killan	The outcome of an implant procedure largely depends on the implant’s surface properties. Biomaterials are now required to have surfaces with multifunctionality such as favorable tissue integration and the ability to combat bacterial adhesion and colonization. Herein, we report on a simple approach to improving the antibacterial properties of zirconia nanotubes (ZrNT) coatings via decoration with silver nanoparticles (AgNp/Ag2O). This was done by electrochemical anodization of Zr-Ag alloy at a constant voltage in a fluoride-containing electrolyte. The modified ZrNTs were characterized using SEM, EDS, ToF – SIMS, and XPS to determine their structural morphology and chemical composition, and were further subjected to antibacterial testing. The silver and zirconium ion release behavior was also monitored via ICP-MS. ZrNT decorated with AgNp/Ag2O exhibited strong antimicrobial activity (> 99 % bacterial killing) against both S. aureus and E. coli. Antimicrobial tests indicated that the antibacterial activity against the Gram-positive pathogen S. aureus could be improved by a factor of 100 compared to unmodified ZrNT while the unmodified ZrNT showed already a comparable reduction of viable Gram-negative E. coli achieved with the additional AgNp/Ag2O decoration. This modification strategy illustrates a simplified and effective approach toward optimizing the interface between the host environment and the biomaterial surface to meet the very important criteria of biocompatibility and antibacterial properties.	Materials Science; Physical Chemistry; Analytical Chemistry; Nanoscience	https://doi.org/10.26434/chemrxiv-2024-jndvt	CC BY 4.0
42	One-dimensional Metallicity and π-band Superconductivity in Roh-dizonate Radical Pancakes	Alvaro Lobato; Fernando Izquierdo-Ruiz; Martin Rahm	Computational exploration of condensed phases made of potassium and carbon monoxide leads to predictions of stable salts composed of cyclic six-membered oxocarbon anions and K⁺ cations, K₃(C₆O₆)ₘ. The states of reduction in these systems are wide ranging, with C₆O₆ molecules formally reduced by -2, -3, -3.5 and -6, in semi-conducting and metallic phases. Special attention is paid to K₃C₆O₆, in which triply charged radical anions stack closely and equidistantly in one-dimension. Equidistant interactions of radicals are exceedingly rare and typically unstable due to spontaneous symmetry breaking, Peierls or Jahn-Teller distortion. The notable exception of K₃C₆O₆ is explained by inter-ring multi-center bonding, also known as pancake bonding in combination with large ionic repulsion. This fascinating interplay of interactions facilitates an exceptionally high density of states at the Fermi level and leads us to predictions of extreme metallicity, a negative temperature coefficient of resistivity, and rare π-band superconductivity at ambient conditions of pressure. These predictions reinvigorate the search for new organic conductors and superconductors using molecular design of metallic salts.	Physical Chemistry; Materials Chemistry; Organometallic Chemistry; Theoretical and Computational Chemistry	https://doi.org/10.26434/chemrxiv-2025-qnvbf	CC BY 4.0
43	Organoids Producing Materials	Quentin Moana Perrin; Ali Miserez	Self-organizing tissues, such as organoids, offer transformative potential beyond healthcare by enabling the sustainable production of advanced materials. Resource scarcity and global warming drive the need for innovative fabrication solutions. This prospective review explores developmental biology as a manufacturing process, where the material (e.g., spider silk) and its production unit are self-organized (e.g., silk glands). Biological systems orchestrate the emergence of hierarchical materials with superior mechanical properties and biodegradability, using abundant and renewable resources. Tissue engineering enables the creation of biological systems that surpass current synthetic designs in complexity. We highlight application opportunities, focusing on spider silk as a model to demonstrate how organs synthesize and assemble next-generation materials. The concept of growing both a material and its organ production units is exemplified by hair-bearing organoids, self-organized from induced pluripotent stem cells (iPSCs). Key challenges in expanding organoid research to new model species and scaling-up production are discussed alongside potential solutions. We propose a simplified description of these complex systems to help address key challenges. Furthermore, synthetic and hybrid approaches are explored, considering the ethical, societal, and technological impacts. Though still in their infancy, material-producing organoids present a promising avenue for sustainable, high-value products, fostering new interdisciplinary collaborations among bioengineers, developmental biologists, and material scientists. This work aims to inspire further exploration into the applications of self-organized biological systems in addressing global challenges.	Materials Science; Biological and Medicinal Chemistry; Energy; Materials Chemistry	https://doi.org/10.26434/chemrxiv-2025-x885b-v3	CC BY 4.0
44	Photo-induced Metal-to-Metal Electron Transfer in a Cyanido bridged [FeCo] Chain: Role of Bridging Cyanide and Solvent	Sakshi Mehta; Sujit Kamila; Subrata Ghosh; Pierre Dechambenoit; Mathieu Rouzières; Corine Mathonière; Rodolphe Clérac; Abhishake Mondal	We report two cyanido-bridged [FeCo] chains, containing diamagnetic [FeIII(S=0)-CoIII(S=0)] units in the 2-300 K range. One undergoes photo-induced metal-to-metal-electron-transfer under light irradiation at low temperature with thermal relaxation around 80 K, whereas the other is photo inactive. The research focuses on the syntheses, crystal structures, optical, magnetic, and photomagnetic properties of these cyanido-bridged heterobimetallic 1D coordination networks with repeating (Fe-CN-Co) units.	Organometallic Chemistry; Materials Chemistry; Physical Chemistry	https://doi.org/10.26434/chemrxiv-2025-vzqwj	CC BY 4.0
45	Photocatalytic Degradation of Ampicillin Under Sunlight Using a Boron Cerium and Silver Ternary Doped Titanium Dioxide Catalyst Synthesized via the EDTA-Citrate Method	Yash Mishra; Dr. Hari Mahalingam	Nowadays, we can see that in river water, traces of antibiotics can be found, which is an emerging problem. Also, pharmaceutical companies’ wastewater contains antibiotic traces present in it in a significant amount which makes it an excellent experimental domain to work upon. Which is very harmful if taken by humans without its treatment, so to treat it as early as possible is very necessary, else the bacteria emerging in that water will be converted to superbugs and then curing the disease from that bacteria will be exceedingly difficult as they have resistive power to that antibiotic. For that, we have prepared a tri-doped photocatalyst by doping boron cerium and silver in a titanium dioxide structure. It can work under sunlight light because the presence of silver in this boron amount is increased so that it can satisfactorily degrade antibiotics. Cerium is for water disinfection in the further catalyst. Its amount was also increased. Then the characterization analysis was performed with the help of DLS analysis with the help of a nanoparticle size analyzer, and we got particle size in the range of 115 to 600 nanometer XRD analysis. We got a band gap of 2.3 to 2.4 electron Volt.BET surface area analysis showed us a surface area of about 25 m²/g. So instead of the UVA lights now, it was performed under the sunlight and the degradation percent was increased significantly to approx 70 percent.	Chemical Engineering and Industrial Chemistry; Materials Chemistry; Catalysis	https://doi.org/10.26434/chemrxiv-2025-kc0ns	CC BY 4.0
46	(PNSiMe₃)₄(NMe)₆: A robust tetravalent phosphaza-adamantane scaffold for molecular and macromolecular chemistry	Joseph Bedard; Nicholas J. Roberts; Karlee L. Bamford; Ulrike Werner-Zwanziger; Katherine M. Marczenko; Saurabh S. Chitnis	Tetraarylmethanes and adamantanes are very rare examples of rigid, four-way, anionic connectors that play a scaffolding role in multiple areas of molecular and materials chemistry. We report the synthesis of a tetravalent phosphaza-adamantane cage, (PNSiMe₃)₄(NMe)₆ (2), that shows unusually high ambient, thermal, and redox stability due to its unique geometry. It nevertheless participates in four-fold functionalization reactions on its periphery. The combination of a robust core but a reactive corona makes 2 a convenient inorganic scaffold upon which tetrahedral molecular and macromolecular chemistry can be reliably constructed. This potential is exemplified by the unprecedented synthesis of a tetracationic tetraphosphinimine (3) and the first porous all-P/N polyphosphazene network (5). The unique geometry of tetrahedral, tetravalent molecules makes them valuable scaffolds in synthetic chemistry. Their ability to connect four functional groups in a rigid and well-separated tetrahedral arrangement has allowed development of new optoelectronic materials, thermally-stable energetic compounds, catalysts with enhanced robustness or multi-catalytic sites, bioactive polypeptide frameworks, and pharmaceuticals. In crystalline reticular chemistry, tetrahedral cages are privileged secondary bonding units as their high symmetry facilitates packing, and in amorphous reticular chemistry, tetrahedral connectors have been used to construct hyper-crosslinked polymers or porous organic polymers.	Materials Chemistry; Organometallic Chemistry; Physical Chemistry	https://doi.org/10.26434/chemrxiv-2021-rrm10	CC BY 4.0
47	Polytypes and Planar Defects Revealed in the Purine Base Xanthine using Multi-Dimensional Electron Diffraction	Helen W. Leung; Royston C. B. Copley; Giulio I. Lampronti; Sarah J. Day; Lucy K. Saunders; Duncan N. Johnstone; Paul A. Midgley	Layered crystal structures are commonly found across organic and inorganic material systems. When in-plane atomic arrangement remains (nearly) identical, a stacking variation of these layers may result in twinning, planar disorder, or polytypes, a form of polymorphism derived from altering stacking sequences. In this work, we use multi-dimensional electron diffraction (ED) modalities to explore the microstructure of xanthine, an archetypal purine base with a layered crystal structure. Firstly, we identify and characterise the twin operator relating domains of Form I xanthine. We then solve the structure of a new xanthine polymorph, revealing that it is a polytype of Form I. Finally, interfaces between twin and polytype domains are visualised, whilst streaking in the diffraction patterns reveals the presence of planar disorder. Given these observations in the xanthine system, this work suggests that disorder on the nanoscale may be a commonly occurring phenomenon in layered organic molecular crystals.	Materials Science; Physical Chemistry; Organic Chemistry; Nanoscience	https://doi.org/10.26434/chemrxiv-2025-hj8ks	CC BY 4.0
48	Predicting Solubility and Size-Exclusivity Towards the Rational Design of Porous Liquid Solutions	Austin M. Mroz; Benjamin D. Egleston; James Sherwood; Ruby C. Morel; Kim E. Jelfs; Rebecca L. Greenaway	Porous liquids are a sub-class of porous materials that combine permanent porosity, typically associated with solids, with the fluidity and fast mass-transfer capabilities of liquids, making them ideal candidates for gas storage and separation applications. One strategy to form porous liquids is the dissolution of discrete and permanently porous molecular species at relatively high concentrations in cavity-excluded solvents, thus introducing permanent porosity into the liquid in which it is dissolved and ensuring a solution of reasonable porosity is obtained. To access high-performance porous liquids for target applications, the selection of both the porous molecular species and the cavity-excluded solvent is key to ensuring the solvent is permanently excluded and the pore carrier is highly soluble. Finding new solvents that fit both these requirements is challenging, often resulting in a trial-and-error approach. While predictive data-driven models may be attractive, the youth of the porous liquid field currently limits the availability of data necessary to train robust models. Here, we present a computational workflow for the discovery of new porous liquid solutions combining solubility prediction software and a size-exclusivity prediction algorithm, featuring no incorrect size-exclusivity predictions; this is followed by experimental validation with a representative system. Our workflow yielded size-excluded solvent and soluble porous organic cage pairs, leading to the realisation of a new porous liquid with enhanced methane uptake compared to previous systems discovered in a purely experimental high-throughput brute-force manner, highlighting the advantages of incorporating a computational workflow in the discovery of new porous liquids.	Materials Science; Physical Chemistry; Theoretical and Computational Chemistry	https://doi.org/10.26434/chemrxiv-2025-cxwjt-v2	CC BY 4.0
49	PROPERTIES, EFFECTS AND CHEMICAL & BIOLOGICAL METHOD OF SYNTHESIS OF SILVER NANOPARTICLES	VARUN MALI	The silver nanoparticles (AgNPs) have gained significant attention due to their remarkable properties. Due to the electrical and catalytic properties of silver nanoparticles it is greatly exploited commercially. However, silver nanoparticles adversely affect the environment and can have hazardous, detrimental toxic effects on mammals, non-mammals and plants. The properties of silver nanoparticles greatly depend on the synthesis process conditions such as process type, temperature, pH, concentration of precursor, reducing agents and capping agents used. In this review we have discussed the bottom-up approach which is categorized into chemical synthesis and green synthesis. The chemical synthesis is a conventional method which is used to synthesize silver nanoparticles. However, it does possess major disadvantages as compared to the green synthesis. The green synthesis has gained a significant interest among the researchers as an alternative route to effectively synthesize silver nanoparticles with varying morphology. Green synthesis methods such as viral-biotemplates synthesis using TMV has gained specific attention as it is used in the synthesis of 1D silver nanostructure. The advantages and disadvantages of bottom-up method of silver nanoparticle synthesis is also discussed. This article also provides a critical review on the properties and effects of silver nanostructures.	Materials Science; Chemical Engineering and Industrial Chemistry; Analytical Chemistry; Catalysis; Organometallic Chemistry	https://doi.org/10.26434/chemrxiv-2025-kclgf	CC BY 4.0
50	Quantification of azides on the surface of nanoparticles: towards precise bioconjugation	Elizaveta Maksimova; David E. Salazar Marcano; Jonathan De Roo	The precise design of bioconjugated nanoparticles is crucial for effective cell targeting and cellular uptake. Therefore, an accurate approach to creating and quantifying the organic ligand shell with a specific number of conjugated targeting ligands is essential. Click-chemistry has emerged as a robust method for bioconjugation, with azide-alkyne cycloaddition as the most prevalent method. Although nanoparticles are typically functionalized with azides, their quantification has rarely been reported. Here, we present two spectroscopic methods for the surface azide quantification of catechol-stabilized hafnium oxide nanoparticles as a model system. The first method exploits the intrinsic ability of catechol ligands to quench the fluorescence of conjugated fluorophores, whereas the second method represents a general strategy based on monitoring the alkyne absorbance during the click reaction. The latter method is independent of both inorganic core and the ligand shell, allowing it to be generally used. We also demonstrate the broader applicability on hafnium oxide nanoparticles capped with polyphosphonate ligands.	Nanoscience; Analytical Chemistry; Physical Chemistry; Materials Chemistry	https://doi.org/10.26434/chemrxiv-2025-swjjx	CC BY 4.0
51	An Approach to Alkyl Azetidines for Medicinal Chemistry	Oleksandr P. Datsenko; Andrii Bazieievskyi; Iryna Sadkova; Bismarck Campos; James T. Brewster II; John Kowalski; Ronald J. Hinklin; Pavel K. Mykhailiuk	Alkyl azetidines have been prepared by photochemical modifications of azetidine-2-carboxylic acids in batch and in flow. The reaction has been realized in mg-, g-, and even multigram quantities. The obtained azetidines are valuable building blocks for drug discovery.	Biological and Medicinal Chemistry; Organic Chemistry	https://doi.org/10.26434/chemrxiv-2025-qmdhg	CC BY 4.0
52	An Assessment of drying agents for use in desiccator for teachers, undergraduate and graduates	Marcus Herbig	This article assesses various drying agents suitable for use in desiccators, aimed at teachers, undergraduates, and graduates. Desiccators are essential laboratory tools for drying solids and maintaining low humidity to prevent unwanted reactions. The choice of desiccant is critical, as they reach different residual humidity and perform the drying process with different speed. Additionally, the desiccant can react and therefore remove not only water from the gas phase inside the desiccator. This study details the structure of classical and modern desiccators, the choice of vacuum conditions, and the hazards associated with using certain desiccants. Several desiccants, including calcium chloride, copper(II) sulfate, magnesium perchlorate, and molecular sieves, and others are evaluated, discussing their properties, capacities, and safety considerations. Besides, an experimental setup for measuring humidity absorption rates and residual moisture is outlined. The findings indicate that desiccants like magnesium perchlorate and molecular sieves demonstrate low residual moisture and high absorption speeds, but have disadvantages considering regeneration or safety issues. The article concludes with recommendations for selecting appropriate desiccants based on their characteristics, and ease of use, while acknowledging the need for careful handling of hazardous materials.	Inorganic Chemistry; Materials Science	https://doi.org/10.26434/chemrxiv-2025-pcfbv	CC BY 4.0
53	An integrated assessment of microplastic pollution in coastal surface water and sediment of Japan	Jonathan J. Ramtahal; Kugako Sugimoto; Samantha Phan; Tara Jambio Microplastic Consortium; Yumiko Patouillet; Romain Troublé; Christine K. Luscombe; Sylvain Agostini	The ubiquity of microplastics in the marine environment has been highlighted in recent years, yet the extent of microplastics pollution in coastal areas, especially off the coast of Japan, remains unclear. Here we provide a comprehensive dataset of microplastic pollution in surface water and sediment around coastal Japan. The survey encompasses 14 locations along Japanese coasts from the northernmost in Hokkaido to the southern archipelago of Okinawa. The overall microplastic concentration was 288.7 ± 651.6 g km^{-2} and 1,185 ± 3,829 kg km^{-2} for surface water and sediment, respectively. A total of 53,674 particles were extracted from both sediment and surface water as suspected microplastics using a series of sieving, density separation and digestions. Using Fourier Transform Infrared Spectroscopy, 85% of particles from surface water were identified as plastics and 70% in sediment. The main polymers found were the widely used polyethylene, polypropylene, and polystyrene. Analysis of sources and pathways of microplastics revealed that rainfall, population, aquaculture and fisheries were major driver of microplastic concentrations. This comprehensive survey highlights the rapid sinking of microplastic in coastal areas and the urgent need for better waste management associated with marine activities especially in rural areas.		https://doi.org/10.26434/chemrxiv-2025-crmbc	CC BY 4.0
